Issue ID,Issue Title,Issue Description,Documentation Page
1,API Key Creation Fails Intermittently,"Users are reporting that the API key generation process in the developer portal fails with a generic error message about 15% of the time, requiring multiple retries.",https://www.cymbalgroup.com/docs/auth/api-keys
2,API Key Deactivation Latency,"Deactivating an API key can take up to 10 minutes to propagate across all services, leaving a window of vulnerability.",https://www.cymbalgroup.com/docs/auth/api-keys
3,New API Keys Inherit Incorrect Permissions,"Newly generated API keys are inheriting permissions from a default template, overriding the specific permissions chosen during creation.",https://www.cymbalgroup.com/docs/auth/api-keys
4,Insecure Default Permissions for New API Keys,"Newly generated API keys are given overly broad default permissions (e.g., full read/write access), posing a security risk if not immediately restricted.",https://www.cymbalgroup.com/docs/auth/api-keys
5,API Key Audit Log Lacks Detail,"The audit log for API key activities does not capture sufficient detail, such as who modified permissions or when an API key was used.",https://www.cymbalgroup.com/docs/auth/api-keys
6,API Key Scope Updates Not Instant,"Changes to API key permissions or scopes do not take effect immediately, leading to a delay in policy enforcement.",https://www.cymbalgroup.com/docs/auth/api-keys
7,API Key Scope Granularity Insufficient,"Developers require more granular control over API key permissions (e.g., read-only access to specific sub-resources).",https://www.cymbalgroup.com/docs/auth/api-keys
8,Automated API Key Rotation Fails Randomly,The scheduled automated API key rotation process fails without notification for certain API keys about 5% of the time.,https://www.cymbalgroup.com/docs/auth/api-keys
9,API Key Deletion Permission Issue,"Users with ""admin"" roles are unable to delete API keys created by other users within the same organization.",https://www.cymbalgroup.com/docs/auth/api-keys
10,API Key Naming Convention Not Enforced,"There is no mechanism to enforce a consistent naming convention for API keys, leading to disorganized keys in large teams.",https://www.cymbalgroup.com/docs/auth/api-keys
11,Python SDK Initialization Crash,"The Python SDK crashes on initialization when certain environment variables are set, specifically impacting containerized environments.",https://www.cymbalgroup.com/docs/sdks/python
12,Python SDK Pagination Issue with Large Datasets,"The Python SDK's pagination logic fails to retrieve all records when dealing with datasets exceeding 10,000 entries.",https://www.cymbalgroup.com/docs/sdks/python
13,Python SDK Conflicting Dependencies,"Installing the Python SDK introduces conflicts with common data science libraries, causing dependency resolution issues for users.",https://www.cymbalgroup.com/docs/sdks/python
14,Python SDK Asynchronous Client Not Idiomatic,"The design of the Python SDK's asynchronous client is not idiomatic to modern Python async patterns, making it difficult to use.",https://www.cymbalgroup.com/docs/sdks/python
15,Python SDK Connection Timeout Not Configurable,The Python SDK does not expose any configuration options for setting HTTP connection timeouts.,https://www.cymbalgroup.com/docs/sdks/python
16,Python SDK Automatic Retries Flawed,The Python SDK's automatic retry mechanism for transient network errors is not correctly configured.,https://www.cymbalgroup.com/docs/sdks/python
17,Python SDK Performance Regression,Benchmarks show a significant performance regression in the Python SDK for concurrent API calls compared to previous versions.,https://www.cymbalgroup.com/docs/sdks/python
18,Webhook Payload Signature Mismatch,"Some webhook consumers are unable to verify the signature of incoming payloads, indicating a potential inconsistency in the signing process.",https://www.cymbalgroup.com/docs/features/webhooks
19,Webhook Duplicate Event Delivery,"Some webhook subscribers are occasionally receiving duplicate event notifications for the same transaction, requiring deduplication logic on their end.",https://www.cymbalgroup.com/docs/features/webhooks
20,Webhook Retry Backoff Not Exponential,"The webhook retry mechanism does not implement an exponential backoff strategy, leading to rapid re-attempts that overload failing endpoints.",https://www.cymbalgroup.com/docs/features/webhooks
21,Webhook Retry Policy Too Short,"The default webhook retry policy is too short (only 3 retries over 5 minutes), leading to missed events during brief outages of consumer services.",https://www.cymbalgroup.com/docs/features/webhooks
22,Webhook Test Tool Fails to Deliver,"The ""Send Test Webhook"" feature in the developer portal consistently fails to deliver test events to configured endpoints.",https://www.cymbalgroup.com/docs/features/webhooks
23,Webhook Payload Size Limit Undocumented,"The maximum size limit for webhook payloads is not documented, leading to unexpected rejection of large events.",https://www.cymbalgroup.com/docs/features/webhooks
24,Authentication Token Expiry Bug,"Auth tokens are expiring after 30 minutes despite being configured for 1 hour, causing unexpected logouts and API call failures.",https://www.cymbalgroup.com/docs/auth/oauth-openid
25,OAuth2 Redirect URI Validation Too Strict,"The OAuth2 authorization server is rejecting valid redirect URIs that include query parameters, preventing successful authentication flows.",https://www.cymbalgroup.com/docs/auth/oauth-openid
26,OAuth Refresh Token Reuse Vulnerability,A vulnerability exists where an expired OAuth refresh token can be reused under specific race conditions to obtain a new access token.,https://www.cymbalgroup.com/docs/auth/oauth-openid
27,OAuth Device Code Flow Device Linking Failure,The OAuth Device Code flow intermittently fails to link the user's device after successful authorization on another device.,https://www.cymbalgroup.com/docs/auth/oauth-openid
